Year,Value
1990,14.9
1991,13.9
1992,13.8
1993,13.5
1994,13.4
1995,13.4
1996,13.1
1997,13.0
1998,12.7
1999,12.8
2000,12.9
2001,12.5
2002,12.3
2003,11.9
2004,11.8
2005,12.0
2006,12.1
2007,11.9
2008,11.8
2009,11.6
2010,11.4
2011,11.9
2012,11.8
2013,11.7
2014,11.6
2015,12.0
