Year,Value
1990,15.3
1991,14.4
1992,14.3
1993,13.9
1994,13.7
1995,13.7
1996,13.4
1997,13.2
1998,13.0
1999,13.0
2000,13.3
2001,13.2
2002,13.0
2003,12.7
2004,12.5
2005,12.3
2006,12.3
2007,12.2
2008,12.0
2009,12.0
2010,11.8
2011,12.1
2012,12.0
2013,11.7
2014,11.8
2015,11.9
