Year,Value
1990,11.7
1991,11.6
1992,11.9
1993,11.7
1994,12.0
1995,12.1
1996,12.2
1997,12.2
1998,11.6
1999,11.6
2000,13.1
2001,13.1
2002,13.1
2003,13.0
2004,12.8
2005,12.7
2006,12.2
2007,12.1
2008,10.9
2009,10.1
2010,10.3
2011,10.5
2012,9.3
2013,9.4
2014,9.5
2015,9.3
