Year,Value
1996,12.0
1997,11.2
1998,8.3
1999,10.6
2000,11.2
2001,13.0
2002,11.6
2003,11.2
2004,13.5
2005,10.3
2006,12.2
2007,11.0
2008,11.0
2009,10.5
2010,10.3
2011,10.6
2012,11.0
2013,9.5
2014,10.9
2015,11.5
