Year,Value
1996,2.4
1997,1.9
1998,1.8
1999,2.2
2000,0.9
2001,1.0
2002,1.1
2003,1.2
2004,1.2
2005,1.3
2006,1.4
2007,1.6
2008,1.9
2009,2.5
2010,2.7
2011,3.0
2012,3.1
2013,3.1
2014,3.0
2015,3.0
