Year,Value
1990,14.4
1991,14.0
1992,13.6
1993,13.4
1994,13.3
1995,12.8
1996,12.1
1997,11.8
1998,11.7
1999,13.2
2000,13.1
2001,13.4
2002,13.2
2003,14.2
2004,13.5
2005,13.3
2006,13.1
2007,12.6
2008,12.4
2009,12.0
2010,12.2
2011,11.9
2012,10.9
2013,10.5
2014,10.4
2015,10.5
