Year,Value
1996,9.1
1997,9.1
1998,9.0
1999,8.9
2000,9.8
2001,9.7
2002,9.3
2003,9.3
2004,9.0
2005,7.4
2006,7.3
2007,7.2
2008,6.8
2009,6.4
2010,7.0
2011,7.0
2012,7.5
2013,7.4
2014,7.6
2015,7.1
