Year,Value
1990,9.1
1991,8.8
1992,8.9
1993,8.7
1994,9.1
1995,8.9
1996,9.1
1997,8.9
1998,8.7
1999,9.2
2000,8.9
2001,8.5
2002,9.2
2003,9.3
2004,9.3
2005,9.0
2006,9.2
2007,9.3
2008,9.5
2009,8.9
2010,9.0
2011,8.9
2012,9.1
2013,8.7
2014,8.9
2015,9.1
