Year,Value
1996,9.7
1997,9.5
1998,9.0
1999,9.5
2000,9.2
2001,9.3
2002,8.7
2003,9.5
2004,9.6
2005,10.0
2006,9.5
2007,9.7
2008,9.5
2009,9.1
2010,9.0
2011,8.0
2012,7.6
2013,7.5
2014,7.0
2015,6.6
