Year,Value
1996,9.1
1997,9.2
1998,8.8
1999,8.5
2000,8.9
2001,8.7
2002,8.4
2003,8.2
2004,8.0
2005,8.9
2006,8.8
2007,8.8
2008,8.6
2009,8.0
2010,7.3
2011,7.3
2012,7.3
2013,7.2
2014,7.2
2015,7.1
