Year,Value
1990,5.0
1991,4.9
1992,4.7
1993,4.6
1994,4.7
1995,4.8
1996,5.0
1997,5.3
1998,5.2
1999,5.5
2000,5.7
2001,5.5
2002,5.9
2003,6.0
2004,6.2
2005,6.4
2006,6.5
2007,6.6
2008,6.8
2009,6.7
2010,6.6
2011,6.4
2012,6.2
2013,6.2
2014,6.1
2015,6.0
