Year,Value
1990,10.6
1991,10.1
1992,9.9
1993,10.2
1994,10.0
1995,9.8
1996,10.0
1997,10.2
1998,10.0
1999,10.0
2000,10.2
2001,10.0
2002,10.4
2003,10.3
2004,10.5
2005,10.5
2006,10.8
2007,10.8
2008,10.6
2009,10.5
2010,10.3
2011,10.0
2012,9.9
2013,9.8
2014,9.5
2015,9.7
