Year,Value
1990,9.5
1991,9.2
1992,8.9
1993,8.4
1994,8.2
1995,8.3
1996,8.2
1997,8.6
1998,8.6
1999,8.6
2000,8.6
2001,9.0
2002,9.2
2003,9.3
2004,9.9
2005,10.0
2006,10.1
2007,10.5
2008,10.3
2009,10.0
2010,9.7
2011,9.8
2012,9.3
2013,9.1
2014,8.8
2015,8.5
