Year,Value
1990,12.9
1991,12.8
1992,12.1
1993,11.6
1994,11.3
1995,11.0
1996,10.8
1997,11.6
1998,11.5
1999,11.3
2000,11.8
2001,12.4
2002,10.7
2003,11.4
2004,11.7
2005,11.9
2006,11.9
2007,11.1
2008,10.2
2009,10.0
2010,9.8
2011,9.0
2012,8.8
2013,8.8
2014,8.7
2015,8.3
