Year,Value
1990,12.2
1991,11.4
1992,11.7
1993,11.7
1994,11.1
1995,11.0
1996,10.9
1997,10.9
1998,9.9
1999,10.1
2000,11.3
2001,11.1
2002,11.3
2003,11.3
2004,12.1
2005,12.2
2006,10.9
2007,10.3
2008,10.5
2009,10.1
2010,10.3
2011,10.1
2012,10.1
2013,10.3
2014,10.6
2015,10.4
