Year,Value
1996,12.2
1997,12.8
1998,13.2
1999,13.8
2000,14.2
2001,14.5
2002,14.3
2003,13.5
2004,13.6
2005,13.4
2006,13.4
2007,13.2
2008,12.2
2009,11.0
2010,11.6
2011,11.7
2012,11.5
2013,10.6
2014,10.8
2015,10.7
