Year,Value
1990,1.8
1991,1.7
1992,1.8
1993,2.2
1994,1.7
1995,1.5
1996,1.6
1997,2.0
1998,2.1
1999,2.0
2000,2.6
2001,2.6
2002,2.6
2003,2.4
2004,2.3
2005,2.4
2006,2.2
2007,2.3
2008,2.5
2009,2.6
2010,2.6
2011,2.7
2012,2.8
2013,2.9
2014,2.7
2015,2.6
