Year,Value
1996,12.5
1997,12.3
1998,12.2
1999,12.2
2000,12.0
2001,13.2
2002,13.3
2003,13.2
2004,13.2
2005,13.0
2006,13.2
2007,12.6
2008,11.8
2009,11.5
2010,10.8
2011,11.4
2012,11.1
2013,10.6
2014,10.9
2015,10.8
