Year,Value
1990,9.9
1991,10.0
1992,10.0
1993,9.7
1994,9.7
1995,9.8
1996,9.9
1997,10.1
1998,9.9
1999,10.1
2000,10.1
2001,10.0
2002,9.8
2003,9.7
2004,9.6
2005,9.6
2006,9.6
2007,9.6
2008,9.7
2009,9.4
2010,9.2
2011,9.0
2012,9.3
2013,8.7
2014,8.0
2015,8.0
