Year,Value
1990,10.3
1991,9.9
1992,9.8
1993,9.3
1994,9.5
1995,9.3
1996,8.8
1997,8.7
1998,8.7
1999,8.9
2000,8.9
2001,8.7
2002,9.1
2003,8.9
2004,9.1
2005,9.3
2006,9.3
2007,9.2
2008,9.5
2009,9.3
2010,9.6
2011,9.5
2012,9.2
2013,9.2
2014,9.1
2015,8.7
