Year,Value
1996,4.8
1997,5.1
1998,5.5
1999,5.9
2000,6.2
2001,6.4
2002,6.6
2003,6.6
2004,6.8
2005,7.1
2006,7.2
2007,7.5
2008,7.2
2009,7.2
2010,6.8
2011,6.8
2012,6.8
2013,6.8
2014,7.0
2015,7.7
