Year,Value
1996,14.5
1997,14.3
1998,14.5
1999,14.4
2000,13.9
2001,14.1
2002,13.9
2003,13.4
2004,13.1
2005,12.9
2006,13.1
2007,12.9
2008,12.5
2009,12.6
2010,12.3
2011,12.4
2012,12.2
2013,11.6
2014,12.0
2015,11.9
