Year,Value
1990,6.7
1991,6.7
1992,6.9
1993,8.0
1994,9.6
1995,9.1
1996,8.4
1997,8.4
1998,8.9
1999,8.8
2000,7.1
2001,6.7
2002,7.4
2003,8.2
2004,8.8
2005,9.9
2006,10.4
2007,12.1
2008,11.8
2009,9.9
2010,9.8
2011,10.1
2012,10.2
2013,10.4
2014,10.6
2015,10.8
