Year,Value
1996,9.0
1997,8.8
1998,8.7
1999,8.8
2000,8.6
2001,8.6
2002,8.4
2003,8.4
2004,8.2
2005,8.5
2006,7.9
2007,7.7
2008,7.5
2009,7.4
2010,7.3
2011,7.3
2012,7.2
2013,7.4
2014,7.1
2015,7.2
