Country,Continent,Average
Austria,Europe,12.0
Belgium,Europe,10.4
Czech Republic,Europe,11.8
Denmark,Europe,10.4
Finland,Europe,9.6
France,Europe,12.4
Germany,Europe,11.8
Greece,Europe,8.4
Hungary,Europe,11.5
Iceland,Europe,7.1
Ireland,Europe,11.7
Italy,Europe,7.1
Luxembourg,Europe,12.0
Netherlands,Europe,9.0
Norway,Europe,6.4
Poland,Europe,10.4
Portugal,Europe,11.6
Slovak Republic,Europe,10.4
Spain,Europe,9.7
Sweden,Europe,7.2
Switzerland,Europe,10.0
Turkey,Europe,1.4
United Kingdom,Europe,10.1
Estonia,Europe,12.3
Russia,Europe,13.4
Slovenia,Europe,10.8
Latvia,Europe,10.6
Lithuania,Europe,14.0
